# phasetime, flux, flux_err
-7.000863098212461999e-02,1.000193963069579306e+00,4.505865650939918352e-04
-6.995021400368828246e-02,1.000273548667357515e+00,4.520798030421587367e-04
-6.967607414325151238e-02,9.995773821014791727e-01,4.503083193273036528e-04
-6.964646821212461258e-02,1.000150708719333981e+00,4.509158203030312053e-04
-6.961724226060815590e-02,9.999586574883340129e-01,4.513062315952200577e-04
-6.931387132638079651e-02,9.998572375408636415e-01,4.504992121021153691e-04
-6.925544410339611046e-02,9.995651955111585218e-01,4.519866592408402269e-04
-6.898130284597547845e-02,9.992522524314259025e-01,4.502811677760266539e-04
-6.895169831183246834e-02,9.999356902464491270e-01,4.508297531434220067e-04
-6.892247236031601165e-02,9.990035682337889966e-01,4.512392266778971362e-04
-6.861910002910476258e-02,1.000376865098894674e+00,4.505930580481443083e-04
-6.856067420310398008e-02,1.000854539263784426e+00,4.523457705877784217e-04
-6.828653108303818497e-02,9.997347908693616780e-01,4.503423588366529972e-04
-6.825692608323384591e-02,1.000382564513538908e+00,4.510305964847273301e-04
-6.822771410155605010e-02,1.001093189982017462e+00,4.516589162756581215e-04
-6.792432826616746910e-02,1.000327010534637129e+00,4.505849075045341608e-04
-6.786590383715050689e-02,1.000140825624318941e+00,4.525802012034845444e-04
-6.759175932010086374e-02,1.000071456607383391e+00,4.503287788401100287e-04
-6.756215571728041436e-02,1.000746659404215144e+00,4.511447024637924323e-04
-6.753294326994131735e-02,9.999643072467075955e-01,4.514726547834555545e-04
-6.722955743455270861e-02,1.000712845834086373e+00,4.506227329974083992e-04
-6.717113393685837652e-02,1.001127630906242461e+00,4.544540132966578519e-04
-6.689699919869573908e-02,9.998473334669032431e-01,4.502662936085428621e-04
-6.686738442000438043e-02,9.982868713364969615e-01,4.509339587908074774e-04
-6.683817290398784416e-02,9.994244334738489055e-01,4.514137861482816279e-04
-6.653478613727671631e-02,1.000397495809478565e+00,4.505038864866091558e-04
-6.647636403656620452e-02,1.000502557808351733e+00,4.552441869793633013e-04
-6.620222790141970515e-02,9.998898705215908400e-01,4.502375382908729547e-04
-6.617261312272838814e-02,9.998872257573024891e-01,4.509604346260090977e-04
-6.614340207237312530e-02,1.000762671651898472e+00,4.517906480713309572e-04
-6.584001484000068238e-02,9.998570895367340228e-01,4.504548261771823656e-04
-6.578160577780622909e-02,9.993560592048944535e-01,4.530419920573609577e-04
-6.550745613848241167e-02,1.000464638328925293e+00,4.503373380274908536e-04
-6.547785393264582421e-02,9.999199862716402487e-01,4.509275994494092200e-04
-6.544863217208098105e-02,9.993819469371599817e-01,4.515533853159506869e-04
-6.514525518425685890e-02,1.000499189308780235e+00,4.506245233650435240e-04
-6.508683587751405708e-02,9.997064568553706287e-01,4.526378622320609063e-04
-6.481268437554509043e-02,1.000600835861977345e+00,4.504480373875533340e-04
-6.478308310103109147e-02,1.000789102764972904e+00,4.510204504211672168e-04
-6.475386180612752174e-02,9.995605735073644915e-01,4.516147560368696952e-04
-6.445048388698082498e-02,1.000408972778844996e+00,4.506380108040994813e-04
-6.439206551156062552e-02,9.994647564514993476e-01,4.525169825420158223e-04
-6.411791307826909814e-02,9.999671114304043984e-01,4.503949362029623332e-04
-6.408831180375507142e-02,1.000811317500017505e+00,4.510886651745902557e-04
-6.405909144017407630e-02,1.000808580392983815e+00,4.521455624442444871e-04
-6.375571258970479105e-02,1.000362863731535601e+00,4.505840943007332591e-04
-6.369729561126845352e-02,9.997555283663908110e-01,4.525568457794744599e-04
-6.342315249120267229e-02,9.994908646374160988e-01,4.502141874545875474e-04
-6.339354097214033867e-02,1.000201373677534589e+00,4.510021133482599665e-04
-6.336433271575281356e-02,1.000452679956601143e+00,4.522393912884924974e-04
-6.306094129242877100e-02,1.000404488091140021e+00,4.506274888917135646e-04
-6.300252571097632315e-02,1.000616073158316022e+00,4.528412780933646306e-04
-6.272838119392663836e-02,1.000485537722472174e+00,4.503955793251668044e-04
-6.269877014052560593e-02,9.996206369296261052e-01,4.509816118566650355e-04
-6.266956188413808082e-02,1.000496178419318039e+00,4.522843370349410885e-04
-6.236616999515277177e-02,9.999048124303975271e-01,4.505870223075199950e-04
-6.230775581068415114e-02,1.000914324939612854e+00,4.528934943631017268e-04
-6.203360896532805063e-02,9.998084892182022010e-01,4.502714350817752669e-04
-6.200399884324957894e-02,9.991892410273415237e-01,4.509270911495009797e-04
-6.197479198384591575e-02,9.999211998670690660e-01,4.522144153373948384e-04
-6.167139869787674478e-02,9.998189093955539564e-01,4.506087850817694167e-04
-6.164194969460367463e-02,9.993834605763322054e-01,4.515736807492986009e-04
-6.161299755192418265e-02,1.000230555775550423e+00,4.527541896374825113e-04
-6.133883766805202364e-02,9.996202322769373039e-01,4.501412406043436170e-04
-6.130923965316704277e-02,9.997991758079349811e-01,4.510120530166842885e-04
-6.128002161789247726e-02,9.988540550182367639e-01,4.520387255742542546e-04
-6.097663904213291436e-02,1.000247582515563893e+00,4.506577710162129298e-04
-6.094717886298894882e-02,9.996939448008618223e-01,4.516829406588784976e-04
-6.091822672030944991e-02,9.996838891113521974e-01,4.526004849811380367e-04
-6.061446882155231003e-02,9.993320074415740217e-01,4.509033058745125699e-04
-6.058525125193904570e-02,9.995611519975166059e-01,4.521697317673196320e-04
-6.028186727919559312e-02,9.996037978171324889e-01,4.505023720729118999e-04
-6.025240803137421608e-02,1.000070027410028706e+00,4.517890447028887098e-04
-6.022345728567857909e-02,9.993572544608310126e-01,4.524279766244584792e-04
-5.994930624937089975e-02,9.996802792009997773e-01,4.502219954038286969e-04
-5.991969705861498879e-02,1.000628260538709124e+00,4.511876729365012022e-04
-5.989048135164687370e-02,1.000046198659547692e+00,4.524136548043749813e-04
-5.958709598191959389e-02,9.991695031649154846e-01,4.504071685735689485e-04
-5.955763766542077758e-02,9.997762358165904750e-01,4.517148338541924330e-04
-5.952868691972511284e-02,1.000183085276267647e+00,4.524310768606953719e-04
-5.925453402077231202e-02,9.992596952651514597e-01,4.501872003792204910e-04
-5.922492669266155724e-02,1.000352562423618918e+00,4.512189423598823770e-04
-5.919572262722561096e-02,1.000046431845522443e+00,4.526044778632831831e-04
-5.889232468464356690e-02,1.000518107379630317e+00,4.506362158935118623e-04
-5.886287847533821366e-02,9.990590631780665865e-01,4.516014092599497025e-04
-5.855976272349628503e-02,9.994464983836237604e-01,4.502282087824132869e-04
-5.853015586104682449e-02,1.000455803846868053e+00,4.512713830258726255e-04
-5.850095226127217246e-02,1.000550964595405379e+00,4.529349171822473030e-04
-5.819755338736753991e-02,1.000899283776118365e+00,4.508528753543051128e-04
-5.816810764372348785e-02,1.000374278687006235e+00,4.518968570629621298e-04
-5.786497931902679498e-02,9.992916871767170139e-01,4.501862372404955752e-04
-5.783538502943209175e-02,1.001546127285584120e+00,4.515738621568961492e-04
-5.780618189531870621e-02,9.992277290143781743e-01,4.527219494956273636e-04
-5.750277091422061060e-02,9.983921940264220973e-01,4.505647070408611661e-04
-5.747333727777004936e-02,1.000662110495461388e+00,4.525229094432584010e-04
-5.717021919762166338e-02,9.997560340150847269e-01,4.502732051738186393e-04
-5.714061373215606476e-02,9.988549584969868000e-01,4.511251579101088456e-04
-5.711141106370398041e-02,9.998000479205225721e-01,4.528533877104105659e-04
-5.680801079281551369e-02,1.000367220763403564e+00,4.507554256138588842e-04
-5.677856644615531662e-02,1.000120369548962884e+00,4.518580527102168025e-04
-5.647544743468434214e-02,1.000249078451419749e+00,4.504681304497432765e-04
-5.644584196921877128e-02,1.000812865065209500e+00,4.515302978529883216e-04
-5.641664116341184310e-02,9.991998032910578420e-01,4.527834942518647009e-04
-5.611323949553948670e-02,1.000039959001075118e+00,4.506757183808811395e-04
-5.608378397300838730e-02,9.998048937289500948e-01,4.525023923932151144e-04
-5.578067613740834291e-02,1.000168562428717989e+00,4.505039081823107605e-04
-5.575107160326530503e-02,9.998034932065167357e-01,4.514168982039103942e-04
-5.572185915592620803e-02,9.992172090295222686e-01,4.528576813691353531e-04
-5.541846819826345971e-02,9.991281913466936171e-01,4.504766928990795857e-04
-5.538901360705495575e-02,1.000193152219433390e+00,4.536068528225781888e-04
-5.508590437447102167e-02,9.996887200380477623e-01,4.504329565466082112e-04
-5.505630030598927804e-02,1.000440377239256273e+00,4.516338405653874807e-04
-5.502710043150493835e-02,9.996349999439756440e-01,4.532885036762473985e-04
-5.472369690098743272e-02,9.993371506659355363e-01,4.505594272451264376e-04
-5.469425441697239182e-02,9.995262424636128795e-01,4.528132432723025198e-04
-5.439114425306589701e-02,1.000393910077059578e+00,4.505979425604344428e-04
-5.436152994003583955e-02,9.998602552611928207e-01,4.514933125634922008e-04
-5.433232959989021255e-02,9.997202845969437313e-01,4.528411757402174055e-04
-5.402892560371143349e-02,9.990782057876198552e-01,4.505517325726857711e-04
-5.399948405101896026e-02,1.000992070242394893e+00,4.533596894097224189e-04
-5.369637249012860353e-02,1.000815960132999782e+00,4.506270836996794510e-04
-5.366675817709854607e-02,1.000307870984065373e+00,4.516513110378616615e-04
-5.363755969959804054e-02,9.996232468427543871e-01,4.525818474737368260e-04
-5.333415384077411225e-02,9.995375360220606353e-01,4.507505335182219303e-04
-5.330471321940422752e-02,1.000986146551592348e+00,4.536683708095940295e-04
-5.300160119285257654e-02,1.001335084595661451e+00,4.507596955388594299e-04
-5.297199898701598908e-02,1.000477170391836701e+00,4.518171676751993283e-04
-5.294278933364460898e-02,1.000523783172711401e+00,4.524495238044378711e-04
-5.263939418503028184e-02,1.000166505522767535e+00,4.509020485067043366e-04
-5.260994238778949478e-02,9.994072295069783562e-01,4.529246736783607659e-04
-5.227722815540125634e-02,1.000983139450058568e+00,4.522498015866358262e-04
-5.224801943335243698e-02,9.998736923745166205e-01,4.521217181217658185e-04
-5.194462288775425485e-02,1.000553793997375651e+00,4.510765440394635603e-04
-5.191517202183602853e-02,9.998335518371174180e-01,4.526639655417538221e-04
-5.161205766697795488e-02,9.992396732816682947e-01,4.504583453542359748e-04
