#time,flux,flux_err
2.459968016734779812e+06,1.001945475782743289e+00,7.785931857826553773e-04
2.459968017371679191e+06,1.002071978936383223e+00,7.787751478670130100e-04
2.459968018008590676e+06,1.002122993656532346e+00,7.788732428771445249e-04
2.459968018645490054e+06,1.001374005099825881e+00,7.786704133284157343e-04
2.459968019282401539e+06,1.000952557358664174e+00,7.785434856671749095e-04
2.459968019919301383e+06,1.001353388697172608e+00,7.787559756555983113e-04
2.459968020556200296e+06,1.001020349836665213e+00,7.787012635197722169e-04
2.459968021193111781e+06,1.000686050969810781e+00,7.786522792397891808e-04
2.459968021830011159e+06,1.001049520658396919e+00,7.788674746465673116e-04
2.459968022466922179e+06,1.000817691979473123e+00,7.788307399985893104e-04
2.459968023103822023e+06,1.001424962230388793e+00,7.791234997673820474e-04
2.459968023740732577e+06,1.001032748233171343e+00,7.790473513928166966e-04
2.459968024377632421e+06,1.001119354572600484e+00,7.791570877899593782e-04
2.459968025014543906e+06,1.000307403145603180e+00,7.789238015809705953e-04
2.459968025651443284e+06,1.000523644374077259e+00,7.790827944482856459e-04
2.459968026288354769e+06,1.000178825012101091e+00,7.790139354322153610e-04
2.459968026925254147e+06,1.000589599427821552e+00,7.792421336722217063e-04
2.459968027562165167e+06,1.000408408226755697e+00,7.792377789306083888e-04
2.459968028199065011e+06,1.000474237642479558e+00,7.793230059479186499e-04
2.459968028835964389e+06,1.000641123313098291e+00,7.794388080415663028e-04
2.459968029472875874e+06,1.001055910167718999e+00,7.796616685908926798e-04
2.459968030109774787e+06,1.000662543649578184e+00,7.795587653599988674e-04
2.459968030746685807e+06,1.000678175784415647e+00,7.796188067999436280e-04
2.459968031383585650e+06,1.000682539689195849e+00,7.796946577844586761e-04
2.459968032020496670e+06,1.000480570015246151e+00,7.796993968282250279e-04
2.459968032657396514e+06,1.000070496759869920e+00,7.795706833454231531e-04
2.459968033294307534e+06,9.998768121165788614e-01,7.795004467556318657e-04
2.459968033931206912e+06,1.000250548994086275e+00,7.796469906960717781e-04
2.459968034568118397e+06,9.997736779311861000e-01,7.794970877910386339e-04
2.459968035205018241e+06,1.000180192627734499e+00,7.796869318789056676e-04
2.459968035841929261e+06,1.000589356235329852e+00,7.798447353421576311e-04
2.459968036478828173e+06,9.998701500763952366e-01,7.795775141371969483e-04
2.459968037115728017e+06,9.999373932702445567e-01,7.795286031258771842e-04
2.459968037752639037e+06,1.001048407676145890e+00,7.800361454116211228e-04
2.459968038389538880e+06,1.001700665050877070e+00,7.804678639234994371e-04
2.459968039026449900e+06,1.001275004683641834e+00,7.810170316395126855e-04
2.459968039663349278e+06,1.001107958413019805e+00,7.827323248407791262e-04
2.459968040300260764e+06,1.001646718346557385e+00,7.867067388806535735e-04
2.459968040937160142e+06,1.001349406097084227e+00,7.929759053122792606e-04
2.459968041574071627e+06,1.001570319196295245e+00,8.008328973082157057e-04
2.459968058133598417e+06,1.000476673873196942e+00,7.845622313447270539e-04
2.459968058770497795e+06,1.000699385949893161e+00,7.836139392875188106e-04
2.459968059407408815e+06,1.000278099039358271e+00,7.827258774173941232e-04
2.459968060044308659e+06,1.000883731875451543e+00,7.825706241320998539e-04
2.459968060681220144e+06,1.001070256551067850e+00,7.823954033698818410e-04
2.459968061318119522e+06,1.001321547575238391e+00,7.822145546623302144e-04
2.459968061955018435e+06,1.001306113465074032e+00,7.817211764911109837e-04
2.459968062591929920e+06,1.001490418051928177e+00,7.812468488477683146e-04
2.459968063228829298e+06,1.000772696526100791e+00,7.803792536240036250e-04
2.459968063865740784e+06,1.000905875987975868e+00,7.798673592318229510e-04
2.459968064502640162e+06,1.000596394184507076e+00,7.792598397947617540e-04
2.459968065139551181e+06,1.000599391099028734e+00,7.787372636869799606e-04
2.459968065776451025e+06,1.000647860130886357e+00,7.783741724377826656e-04
2.459968066413361579e+06,1.000696433714917344e+00,7.780613953371880382e-04
2.459968067050261423e+06,1.000376399015103113e+00,7.776778399890025640e-04
2.459968067687172908e+06,1.000087947250942300e+00,7.773716405651766477e-04
2.459968068324071821e+06,9.999270120762201453e-01,7.771282315425643954e-04
2.459968068960983306e+06,1.000241757137443566e+00,7.771415656630044659e-04
2.459968069597883150e+06,1.000201753666537074e+00,7.770640267454866296e-04
2.459968070234782062e+06,1.000263661403294702e+00,7.770426492090544944e-04
2.459968070871693548e+06,1.000380330005278706e+00,7.770432038933088601e-04
2.459968071508592926e+06,1.000330996884799983e+00,7.770372046275959626e-04
2.459968072145503946e+06,1.000285418518151337e+00,7.770036706997777943e-04
2.459968072782403789e+06,1.000166991946070505e+00,7.769798211210189598e-04
2.459968073419314809e+06,1.000360944524237405e+00,7.770628500442837905e-04
2.459968074056214187e+06,1.000199971755115547e+00,7.770030225827870545e-04
2.459968074693125207e+06,1.000177116078143413e+00,7.770307635414467088e-04
2.459968075330024585e+06,1.000244812604580424e+00,7.771043833075592282e-04
2.459968075966936070e+06,9.999914773222410291e-01,7.770372611548042241e-04
2.459968076603835914e+06,1.000451841367899108e+00,7.772123166151920703e-04
2.459968077240734827e+06,1.000224767177532392e+00,7.772079446428882456e-04
2.459968077877645846e+06,1.002777324016445260e+00,7.782126898813221220e-04
2.459968078514545690e+06,1.000789354063796432e+00,7.774800555922225468e-04
2.459968079151456710e+06,1.000858724702867075e+00,7.775694572168132196e-04
2.459968079788356554e+06,1.000689692940830877e+00,7.775567339203450640e-04
2.459968080425267108e+06,1.000877787884580705e+00,7.776866860875520943e-04
