#time,flux,flux_err
8927.623406,1.000160,0.000084
8927.623797,1.000069,0.000084
8927.624188,1.000012,0.000084
8927.624579,1.000001,0.000084
8927.624970,1.000173,0.000084
8927.625360,1.000047,0.000084
8927.625751,1.000096,0.000084
8927.626142,1.000144,0.000084
8927.626533,1.000143,0.000084
8927.626924,0.999922,0.000084
8927.627315,1.000134,0.000084
8927.627706,1.000114,0.000084
8927.628097,0.999994,0.000084
8927.628488,1.000144,0.000084
8927.628878,1.000189,0.000084
8927.629269,1.000136,0.000084
8927.629660,1.000031,0.000084
8927.630051,1.000061,0.000084
8927.630442,1.000046,0.000084
8927.630833,1.000043,0.000084
8927.631224,0.999973,0.000084
8927.631615,1.000034,0.000084
8927.632006,1.000027,0.000084
8927.632396,0.999912,0.000084
8927.632787,0.999845,0.000084
8927.633178,0.999927,0.000084
8927.633569,0.999843,0.000084
8927.633960,0.999953,0.000084
8927.634351,1.000151,0.000084
8927.634742,1.000040,0.000084
8927.635133,0.999960,0.000084
8927.635524,0.999918,0.000084
8927.635914,0.999957,0.000084
8927.636305,0.999985,0.000084
8927.636696,0.999836,0.000084
8927.637087,0.999755,0.000084
8927.637478,0.999905,0.000084
8927.637869,0.999817,0.000084
8927.638260,0.999819,0.000084
8927.638651,0.999917,0.000084
8927.639042,0.999978,0.000084
8927.639432,0.999919,0.000084
8927.639823,1.000033,0.000084
8927.640214,0.999916,0.000084
8927.640605,0.999766,0.000084
8927.640996,0.999937,0.000084
8927.641387,0.999770,0.000084
8927.641778,0.999895,0.000084
8927.642169,0.999975,0.000084
8927.642560,1.000035,0.000084
8927.642950,0.999993,0.000084
8927.643341,0.999900,0.000084
8927.643732,0.999938,0.000084
8927.644123,0.999996,0.000084
8927.644514,1.000038,0.000084
8927.644905,0.999879,0.000084
8927.645296,0.999905,0.000084
8927.645687,0.999961,0.000084
8927.646078,1.000031,0.000084
8927.646468,1.000157,0.000084
8927.646859,0.999953,0.000084
8927.647250,1.000048,0.000084
8927.647641,0.999905,0.000084
8927.648032,0.999977,0.000084
8927.648423,0.999989,0.000084
8927.648814,0.999994,0.000084
8927.649205,1.000232,0.000084
8927.649596,1.000128,0.000084
8927.649986,0.999972,0.000084
8927.650377,0.999943,0.000084
8927.650768,1.000182,0.000084
8927.651159,1.000058,0.000084
8927.651550,1.000167,0.000084
8927.651941,1.000103,0.000084
8927.652332,0.999966,0.000084
8927.652723,1.000051,0.000084
8927.653114,1.000057,0.000084
8927.653504,1.000014,0.000084
8927.653895,0.999956,0.000084
8927.654286,1.000047,0.000084
8927.654677,1.000031,0.000084
8927.655068,1.000022,0.000084
8927.655459,0.999920,0.000084
8927.655850,1.000062,0.000084
8927.656241,1.000085,0.000084
8927.656632,1.000061,0.000084
8927.657022,0.999946,0.000084
8927.657413,1.000239,0.000084
8927.657804,1.000204,0.000084
8927.658195,1.000148,0.000084
8927.658586,1.000030,0.000084
8927.658977,1.000223,0.000084
8927.659368,0.999860,0.000084
8927.659759,1.000047,0.000084
8927.660150,0.999995,0.000084
8927.660540,0.999999,0.000084
8927.660931,1.000113,0.000084
8927.661322,1.000115,0.000084
8927.661713,1.000118,0.000084
8927.662104,1.000127,0.000085
8927.662495,1.000236,0.000086
8927.689857,1.000082,0.000085
8927.690248,1.000213,0.000085
8927.690639,1.000183,0.000084
8927.691030,0.999933,0.000084
8927.691421,0.999838,0.000084
8927.691812,0.999970,0.000084
8927.692202,1.000108,0.000084
8927.692593,1.000064,0.000084
8927.692984,0.999966,0.000084
8927.693375,0.999935,0.000084
8927.693766,1.000024,0.000084
8927.694157,0.999908,0.000084
8927.694548,0.999971,0.000084
8927.694939,0.999958,0.000084
8927.695330,1.000048,0.000084
8927.695720,1.000053,0.000084
8927.696111,0.999914,0.000084
8927.696502,0.999858,0.000084
8927.696893,1.000007,0.000084
8927.697284,0.999956,0.000084
8927.697675,0.999963,0.000084
8927.698066,0.999986,0.000084
8927.698457,0.999909,0.000084
8927.698848,0.999784,0.000084
8927.699239,1.000029,0.000084
8927.699629,0.999873,0.000084
8927.700020,0.999992,0.000084
8927.700411,0.999867,0.000084
8927.700802,0.999836,0.000084
8927.701193,1.000045,0.000084
8927.701584,0.999861,0.000084
8927.701975,1.000208,0.000084
8927.704711,0.999867,0.000084
8927.705102,0.999889,0.000084
8927.705493,0.999818,0.000084
8927.705884,1.000126,0.000084
8927.706275,0.999727,0.000084
8927.706665,0.999956,0.000084
8927.707056,0.999807,0.000084
8927.707447,0.999785,0.000084
8927.707838,0.999911,0.000084
8927.708229,0.999864,0.000084
8927.708620,1.000055,0.000084
8927.709011,0.999798,0.000084
8927.709402,0.999725,0.000084
8927.709793,0.999815,0.000084
8927.710183,0.999904,0.000084
8927.710574,0.999884,0.000084
8927.710965,0.999886,0.000084
8927.711356,0.999878,0.000084
8927.711747,0.999864,0.000084
8927.712138,0.999770,0.000084
8927.712529,0.999937,0.000084
8927.712920,0.999854,0.000084
8927.713311,0.999933,0.000084
8927.713701,0.999807,0.000084
8927.714092,0.999879,0.000084
8927.714483,0.999770,0.000084
8927.714874,0.999898,0.000084
8927.715265,0.999812,0.000084
8927.715656,1.000053,0.000084
8927.716047,1.000150,0.000084
8927.716438,1.000000,0.000084
8927.716829,0.999917,0.000084
8927.717219,0.999997,0.000084
8927.717610,0.999951,0.000084
8927.718001,0.999783,0.000084
